District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,222001 Telecommunications,"1,000",0,960,0,0,960
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,223004 Guard and Security services,960,0,960,0,0,960
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,223005 Electricity,0,0,0,0,0,0
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,223006 Water,0,0,0,0,0,0
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,"223007 Other Utilities- (fuel, gas, firewood, ",390,0,228,0,0,228
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,224004 Cleaning and Sanitation,0,0,"1,202",0,0,"1,202"
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,227001 Travel inland,"12,000",0,"2,100",0,0,"2,100"
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,"227004 Fuel, Lubricants and Oils","17,080",0,"16,000",0,0,"16,000"
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,228001 Maintenance - Civil,800,0,0,0,0,0
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,228002 Maintenance - Vehicles,"6,942",0,"6,547",0,0,"6,547"
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,"228003 Maintenance ±Machinery, Equipment  ",800,0,0,0,0,0
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,"221011 Printing, Stationery, Photocopying and ",0,0,"1,200",0,0,"1,200"
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,221014 Bank Charges and other Bank related costs,0,0,200,0,0,200
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,223005 Electricity,0,0,800,0,0,800
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,223006 Water,0,0,400,0,0,400
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,227001 Travel inland,"3,665",0,"1,000",0,0,"1,000"
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,"227004 Fuel, Lubricants and Oils","2,923",0,488,0,0,488
Bududa District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,228001 Maintenance - Civil,0,0,400,0,0,400
Bududa District,Health,0883 Health Management and Supervision,03  Capital Purchases,088372 Administrative Capital,312101 Non-Residential Buildings ,"21,543",0,0,0,0,0
Bududa District,Health,0883 Health Management and Supervision,03  Capital Purchases,088372 Administrative Capital,312213 ICT Equipment,0,0,0,"10,000",0,"10,000"
Bududa District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,078102 Primary Teaching Services,"221011 Printing, Stationery, Photocopying and ",0,0,448,0,0,448
Bududa District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,078102 Primary Teaching Services,227001 Travel inland,0,0,"6,000",0,0,"6,000"
Bududa District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,078102 Primary Teaching Services,"227004 Fuel, Lubricants and Oils",0,0,"2,000",0,0,"2,000"
Bududa District,Education,0781 Pre-Primary and Primary Education,02  Lower Local Services,078151 Primary Schools Services UPE (LLS),263366 Sector Conditional Grant (Wage),"5,283,224","5,305,214",0,0,0,"5,305,214"
Bududa District,Education,0781 Pre-Primary and Primary Education,02  Lower Local Services,078151 Primary Schools Services UPE (LLS),263367 Sector Conditional Grant (Non-Wage),"489,541",0,"526,646",0,0,"526,646"
Bududa District,Education,0781 Pre-Primary and Primary Education,02  Lower Local Services,078151 Primary Schools Services UPE (LLS),263369 Support Services Conditional Grant (Non-,0,0,0,0,0,0
Bududa District,Education,0781 Pre-Primary and Primary Education,03  Capital Purchases,078180 Classroom construction and rehabilitation,312101 Non-Residential Buildings ,"63,271",0,0,"82,000",0,"82,000"
Bududa District,Education,0781 Pre-Primary and Primary Education,03  Capital Purchases,078180 Classroom construction and rehabilitation,314202 Work in progress,0,0,0,"1,725",0,"1,725"
Bududa District,Education,0781 Pre-Primary and Primary Education,03  Capital Purchases,078181 Latrine construction and rehabilitation,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"9,050",0,"9,050"
Bududa District,Education,0781 Pre-Primary and Primary Education,03  Capital Purchases,078181 Latrine construction and rehabilitation,312101 Non-Residential Buildings ,"19,000",0,0,"171,950",0,"171,950"
Bududa District,Education,0781 Pre-Primary and Primary Education,03  Capital Purchases,078181 Latrine construction and rehabilitation,314202 Work in progress,0,0,0,"1,993",0,"1,993"
Bududa District,Education,0781 Pre-Primary and Primary Education,03  Capital Purchases,078182 Teacher house construction and rehabilitation,312102 Residential Buildings ,0,0,0,"10,000",0,"10,000"
Bududa District,Education,0782 Secondary Education,02  Lower Local Services,078251 Secondary Capitation(USE)(LLS),242003 Other,0,0,0,0,0,0
Bududa District,Education,0782 Secondary Education,02  Lower Local Services,078251 Secondary Capitation(USE)(LLS),263366 Sector Conditional Grant (Wage),"894,505","1,229,160",0,0,0,"1,229,160"
Bududa District,Education,0782 Secondary Education,02  Lower Local Services,078251 Secondary Capitation(USE)(LLS),263367 Sector Conditional Grant (Non-Wage),"890,564",0,"871,692",0,0,"871,692"
Bududa District,Education,0782 Secondary Education,02  Lower Local Services,078251 Secondary Capitation(USE)(LLS),263369 Support Services Conditional Grant (Non-,0,0,0,0,0,0
Bududa District,Education,0782 Secondary Education,03  Capital Purchases,078280 Classroom construction and rehabilitation,312101 Non-Residential Buildings ,"700,000",0,0,"700,000",0,"700,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,211101 General Staff Salaries,"35,064","35,064",0,0,0,"35,064"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,212107 Gratuity for Local Governments,500,0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,213001 Medical expenses (To employees),0,0,"1,500",0,0,"1,500"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,"213002 Incapacity, death benefits and funeral ","1,000",0,"1,600",0,0,"1,600"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,221002 Workshops and Seminars,0,0,"2,000",0,0,"2,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,"221007 Books, Periodicals  Newspapers",0,0,600,0,0,600
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,221008 Computer supplies and Information ,"1,000",0,"1,200",0,0,"1,200"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,221009 Welfare and Entertainment,"1,500",0,"3,054",0,0,"3,054"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,"221011 Printing, Stationery, Photocopying and ","1,000",0,"3,000",0,0,"3,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,221012 Small Office Equipment,0,0,373,0,0,373
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,221014 Bank Charges and other Bank related costs,0,0,"1,600",0,0,"1,600"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,222001 Telecommunications,0,0,600,0,0,600
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,222003 Information and communications ,0,0,"1,000",0,0,"1,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,224004 Cleaning and Sanitation,0,0,"1,500",0,0,"1,500"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,227001 Travel inland,"3,000",0,"22,000",0,0,"22,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,227002 Travel abroad,962,0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,"227004 Fuel, Lubricants and Oils","4,000",0,"16,000",0,0,"16,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,228001 Maintenance - Civil,0,0,"1,200",0,0,"1,200"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078401 Education Management Services,228002 Maintenance - Vehicles,"10,000",0,"2,000",0,0,"2,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,221002 Workshops and Seminars,"1,500",0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,221009 Welfare and Entertainment,"1,000",0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,"221011 Printing, Stationery, Photocopying and ","2,000",0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,221014 Bank Charges and other Bank related costs,500,0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,224004 Cleaning and Sanitation,"1,200",0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,227001 Travel inland,"15,000",0,"2,000",0,0,"2,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,"227004 Fuel, Lubricants and Oils","8,290",0,"1,488",0,0,"1,488"
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078402 Monitoring and Supervision of Primary  secondary Education,228002 Maintenance - Vehicles,"1,000",0,0,0,0,0
Bududa District,Education,0784 Education  Sports Management and Inspection,01  Higher LG Services,078403 Sports Development services,221009 Welfare and Entertainment,0,0,"6,000",0,0,"6,000"
Bududa District,Education,0784 Education  Sports Management and Inspection,03  Capital Purchases,078472 Administrative Capital,312201 Transport Equipment,"180,000",0,0,"9,497",0,"9,497"
Bududa District,Education,0784 Education  Sports Management and Inspection,03  Capital Purchases,078472 Administrative Capital,312213 ICT Equipment,0,0,0,"15,000",0,"15,000"
Bududa District,Education,0785 Special Needs Education,01  Higher LG Services,078501 Special Needs Education Services,221009 Welfare and Entertainment,0,0,"5,200",0,0,"5,200"
Bududa District,Education,0785 Special Needs Education,01  Higher LG Services,078501 Special Needs Education Services,227001 Travel inland,"2,400",0,0,0,0,0
Bududa District,Education,0785 Special Needs Education,01  Higher LG Services,078501 Special Needs Education Services,"227004 Fuel, Lubricants and Oils","3,000",0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048101 Operation of District Roads Office,211101 General Staff Salaries,"51,364",0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048101 Operation of District Roads Office,221009 Welfare and Entertainment,"1,000",0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048101 Operation of District Roads Office,221012 Small Office Equipment,473,0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048101 Operation of District Roads Office,223005 Electricity,300,0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048101 Operation of District Roads Office,223006 Water,300,0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048101 Operation of District Roads Office,"227004 Fuel, Lubricants and Oils","1,420",0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048104 Community Access Roads maintenance,211101 General Staff Salaries,0,0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048104 Community Access Roads maintenance,"221011 Printing, Stationery, Photocopying and ",0,0,"9,703",0,0,"9,703"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048104 Community Access Roads maintenance,227001 Travel inland,0,0,"214,963",0,0,"214,963"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048104 Community Access Roads maintenance,"227004 Fuel, Lubricants and Oils",0,0,"78,070",0,0,"78,070"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048104 Community Access Roads maintenance,228001 Maintenance - Civil,0,0,"30,695",0,0,"30,695"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048104 Community Access Roads maintenance,228002 Maintenance - Vehicles,0,0,"67,977",0,0,"67,977"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",01  Higher LG Services,048108 Operation of District Roads Office,211101 General Staff Salaries,0,"95,000",0,0,0,"95,000"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",02  Lower Local Services,048151 Community Access Road Maintenance (LLS),242003 Other,"49,390",0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",02  Lower Local Services,048156 Urban unpaved roads Maintenance (LLS),263104 Transfers to  other govt. units (Current),0,0,"220,600",0,0,"220,600"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",02  Lower Local Services,048156 Urban unpaved roads Maintenance (LLS),263204 Transfers to  other govt. units (Capital),"166,130",0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",02  Lower Local Services,048157 Bottle necks Clearance on Community Access Roads,263104 Transfers to  other govt. units (Current),0,0,"122,108",0,0,"122,108"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",02  Lower Local Services,048158 District Roads Maintainence (URF),263367 Sector Conditional Grant (Non-Wage),"248,704",0,0,0,0,0
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048174 Bridges for District and Urban Roads,312103 Roads and Bridges,0,0,0,"43,612",0,"43,612"
Bududa District,Roads and Engineering,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048180 Rural roads construction and rehabilitation,312103 Roads and Bridges,"79,371",0,0,"79,371",0,"79,371"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,211101 General Staff Salaries,"25,461","25,461",0,0,0,"25,461"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,"221007 Books, Periodicals  Newspapers",528,0,264,0,0,264
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,221009 Welfare and Entertainment,"1,200",0,600,0,0,600
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,"221011 Printing, Stationery, Photocopying and ","2,472",0,"1,371",0,0,"1,371"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,221012 Small Office Equipment,"1,000",0,"1,200",0,0,"1,200"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,221014 Bank Charges and other Bank related costs,300,0,150,0,0,150
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,223005 Electricity,"1,200",0,600,0,0,600
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,223006 Water,240,0,240,0,0,240
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,227001 Travel inland,"3,570",0,"5,400",0,0,"5,400"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,"227004 Fuel, Lubricants and Oils","5,357",0,"2,466",0,0,"2,466"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,228001 Maintenance - Civil,540,0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098101 Operation of the District Water Office,228002 Maintenance - Vehicles,"6,493",0,"5,338",0,0,"5,338"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,"098102 Supervision, monitoring and coordination",221009 Welfare and Entertainment,"2,428",0,"1,160",0,0,"1,160"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,"098102 Supervision, monitoring and coordination","221011 Printing, Stationery, Photocopying and ","1,164",0,664,0,0,664
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,"098102 Supervision, monitoring and coordination","223007 Other Utilities- (fuel, gas, firewood, ","3,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,"098102 Supervision, monitoring and coordination",227001 Travel inland,"6,596",0,"3,844",0,0,"3,844"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,"098102 Supervision, monitoring and coordination","227004 Fuel, Lubricants and Oils","2,296",0,"2,860",0,0,"2,860"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098103 Support for OM of district water and sanitation,228001 Maintenance - Civil,"24,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,221001 Advertising and Public Relations,477,0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,"221005 Hire of Venue (chairs, projector, etc)","1,719",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,221009 Welfare and Entertainment,"2,425",0,775,0,0,775
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,"221011 Printing, Stationery, Photocopying and ","1,236",0,836,0,0,836
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,221012 Small Office Equipment,390,0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,"223007 Other Utilities- (fuel, gas, firewood, ",240,0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,224004 Cleaning and Sanitation,0,0,630,0,0,630
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,227001 Travel inland,"18,911",0,"6,668",0,0,"6,668"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098104 Promotion of Community Based Management,"227004 Fuel, Lubricants and Oils","3,456",0,"1,454",0,0,"1,454"
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098105 Promotion of Sanitation and Hygiene,221001 Advertising and Public Relations,"5,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098105 Promotion of Sanitation and Hygiene,221009 Welfare and Entertainment,"5,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098105 Promotion of Sanitation and Hygiene,"221011 Printing, Stationery, Photocopying and ","5,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098105 Promotion of Sanitation and Hygiene,227001 Travel inland,"60,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098105 Promotion of Sanitation and Hygiene,"227004 Fuel, Lubricants and Oils","21,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,01  Higher LG Services,098105 Promotion of Sanitation and Hygiene,228002 Maintenance - Vehicles,"5,000",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,02  Lower Local Services,098151 Rehabilitation and Repairs to Rural Water Sources (LLS),263206 Other Capital grants,"10,500",0,0,0,0,0
Bududa District,Water,0981 Rural Water Supply and Sanitation,02  Lower Local Services,098151 Rehabilitation and Repairs to Rural Water Sources (LLS),263370 Sector Development Grant,0,0,0,"21,000",0,"21,000"
Bududa District,Water,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"21,053",0,"21,053"
Bududa District,Water,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098180 Construction of public latrines in RGCs,312101 Non-Residential Buildings ,"27,759",0,0,"27,000",0,"27,000"
Bududa District,Water,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098181 Spring protection,312104 Other Structures,"51,829",0,0,"30,000",0,"30,000"
Bududa District,Water,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098184 Construction of piped water supply system,281503 Engineering and Design Studies  Plans ,0,0,0,"34,350",0,"34,350"
Bududa District,Water,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098184 Construction of piped water supply system,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"10,449",0,"10,449"
Bududa District,Water,0981 Rural Water Supply and Sanitation,03  Capital Purchases,098184 Construction of piped water supply system,312104 Other Structures,"371,645",0,0,"394,335",0,"394,335"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,211101 General Staff Salaries,"66,316","78,146",0,0,0,"78,146"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,211103 Allowances,0,0,"2,100",0,0,"2,100"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,221009 Welfare and Entertainment,"1,200",0,500,0,0,500
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,"221011 Printing, Stationery, Photocopying and ","1,500",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,221014 Bank Charges and other Bank related costs,492,0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,223005 Electricity,0,0,200,0,0,200
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,223006 Water,0,0,200,0,0,200
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,227001 Travel inland,"2,000",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098301 District Natural Resource Management ,"227004 Fuel, Lubricants and Oils","3,000",0,"5,000",0,0,"5,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098303 Tree Planting and Afforestation,"221011 Printing, Stationery, Photocopying and ",0,0,"2,000",0,0,"2,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098303 Tree Planting and Afforestation,224006 Agricultural Supplies,"10,811",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098303 Tree Planting and Afforestation,227001 Travel inland,0,0,"16,000",0,0,"16,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098303 Tree Planting and Afforestation,"227004 Fuel, Lubricants and Oils",0,0,"15,000",0,0,"15,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098303 Tree Planting and Afforestation,228002 Maintenance - Vehicles,0,0,"7,000",0,0,"7,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,"098304 Training in forestry management (Fuel Saving Technology, Water Shed Management)",221002 Workshops and Seminars,"3,000",0,"3,802",0,0,"3,802"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098305 Forestry Regulation and Inspection ,221002 Workshops and Seminars,"3,000",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098305 Forestry Regulation and Inspection ,227001 Travel inland,0,0,"2,000",0,0,"2,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098305 Forestry Regulation and Inspection ,"227004 Fuel, Lubricants and Oils",0,0,"1,000",0,0,"1,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098306 Community Training in Wetland management  ,211103 Allowances,"4,500",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098306 Community Training in Wetland management  ,"221011 Printing, Stationery, Photocopying and ",500,0,"1,000",0,0,"1,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098306 Community Training in Wetland management  ,227001 Travel inland,0,0,"2,373",0,0,"2,373"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098306 Community Training in Wetland management  ,"227004 Fuel, Lubricants and Oils",989,0,"2,000",0,0,"2,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098307 River Bank and Wetland Restoration ,224006 Agricultural Supplies,"4,000",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098307 River Bank and Wetland Restoration ,227001 Travel inland,"3,000",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098308 Stakeholder Environmental Training and Sensitisation ,211103 Allowances,"1,700",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098308 Stakeholder Environmental Training and Sensitisation ,"221011 Printing, Stationery, Photocopying and ",300,0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098308 Stakeholder Environmental Training and Sensitisation ,227001 Travel inland,0,0,"1,700",0,0,"1,700"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098309 Monitoring and Evaluation of Environmental Compliance,211103 Allowances,"1,500",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,098309 Monitoring and Evaluation of Environmental Compliance,"227004 Fuel, Lubricants and Oils",500,0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,"098310 Land Management Services (Surveying, Valuations, Tittling and lease management) ",211103 Allowances,"2,238",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,"098310 Land Management Services (Surveying, Valuations, Tittling and lease management) ",221008 Computer supplies and Information ,"6,000",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,"098310 Land Management Services (Surveying, Valuations, Tittling and lease management) ","221011 Printing, Stationery, Photocopying and ",0,0,"1,000",0,0,"1,000"
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,"098310 Land Management Services (Surveying, Valuations, Tittling and lease management) ",227001 Travel inland,0,0,"3,000",0,0,"3,000"
